entry_date,exit_date,holding_days,trade_return,win
2025-11-04,2025-11-10,6,0.005193841821800049,True
2025-11-24,2025-11-25,1,-0.0004999999999999449,False
2025-11-28,2025-12-01,3,-0.0004999999999999449,False
2025-12-09,2025-12-15,6,-0.01044321694068251,False
2026-01-06,2026-01-09,3,0.00600792865147981,True
2026-01-12,2026-01-16,4,-0.003539877714344941,False
2026-01-21,2026-01-22,1,-0.0004999999999999449,False
2026-01-23,2026-02-04,12,-0.009936192546262212,False
2026-02-06,2026-02-10,4,-0.003135739241813984,False
2026-02-12,2026-02-20,8,0.010759587565047468,True
2026-02-23,2026-02-24,1,-0.0004999999999999449,False
2026-02-26,2026-03-04,6,-0.001752968175682379,False
2026-03-05,2026-03-09,4,0.008255581541551482,True
2026-03-18,2026-03-19,1,-0.0004999999999999449,False
2026-03-25,2026-03-26,1,-0.0004999999999999449,False
2026-04-01,2026-04-06,5,0.004224481661222024,True
2026-04-08,2026-04-13,5,0.008599652552150783,True
2026-04-14,2026-04-20,6,0.012037583833121479,True
2026-04-21,2026-04-22,1,-0.0004999999999999449,False
2026-04-23,2026-04-24,1,-0.0004999999999999449,False
2026-04-27,2026-04-28,1,-0.0004999999999999449,False
2026-04-30,2026-05-07,7,0.014659282920048922,True
2026-05-11,2026-05-12,1,-0.000500000000000056,False
2026-05-14,2026-05-18,4,-0.0012031575630727653,False
2026-05-19,2026-05-20,1,-0.0004999999999999449,False
2026-05-26,2026-06-01,6,0.010261301627160213,True
2026-06-02,2026-06-03,1,-0.0004999999999999449,False
2026-06-08,2026-06-09,1,-0.0004999999999999449,False
2026-06-11,2026-06-12,1,-0.0004999999999999449,False
2026-06-15,2026-06-16,1,-0.0004999999999999449,False
2026-06-17,2026-06-18,1,-0.0004999999999999449,False
2026-06-23,2026-06-29,6,0.010077887000220942,True
2026-07-22,2026-07-24,2,0.0005155043586086983,True
2026-07-30,2026-07-31,1,-0.000500000000000056,False
